,whole_machine,declare_resources,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,2,2,2,3,3,4,7
# cold starts,x,x,10,10,5,10,5,10,20
diagonal?,x,x,1,0,1,1,1,1,1
num_tasks,200,200,200,200,200,200,200,200,200
total_cores_t,1600000.0,2000000.0,686000.0,686000.0,664000.0,898000.0,882000.0,1100000.0,1686000.0
avg_total_cores_t,8000.0,10000.0,3430.0,3430.0,3320.0,4490.0,4410.0,5500.0,8430.0
wcores_t,1200000.0,1600000.0,286000.0,286000.0,264000.0,498000.0,482000.0,700000.0,1286000.0
avg_wcores_t,6000.0,8000.0,1430.0,1430.0,1320.0,2490.0,2410.0,3500.0,6430.0
wfail_alloc_core_t,0,0,208000.0,208000.0,216000.0,420000.0,434000.0,622000.0,1154000.0
avg_wfail_alloc_core_t,0,0,1040.0,1040.0,1080.0,2100.0,2170.0,3110.0,5770.0
int_frag_core_t,1200000.0,1600000.0,78000.0,78000.0,48000.0,78000.0,48000.0,78000.0,132000.0
avg_int_frag_core_t,6000.0,8000.0,390.0,390.0,240.0,390.0,240.0,390.0,660.0
cores_t_utilization,0.25,0.19999999999999996,0.5830903790087463,0.5830903790087463,0.6024096385542168,0.4454342984409799,0.45351473922902497,0.36363636363636365,0.2372479240806643
total_mem_t,12800000000.0,16800000000.0,3890932500.0,3890932500.0,3644680500.0,4341000500.0,4089656500.0,4194702000.0,5553287000.0
avg_total_mem_t,64000000.0,84000000.0,19454662.5,19454662.5,18223402.5,21705002.5,20448282.5,20973510.0,27766435.0
wmem_t,11165469000.0,15165469000.0,2256401500.0,2256401500.0,2010149500.0,2706469500.0,2455125500.0,2560171000.0,3918756000.0
avg_wmem_t,55827345.0,75827345.0,11282007.5,11282007.5,10050747.5,13532347.5,12275627.5,12800855.0,19593780.0
wfail_alloc_mem_t,0,0,340742000.0,340742000.0,341669000.0,972576500.0,974106500.0,1214806500.0,2291324500.0
avg_wfail_alloc_mem_t,0,0,1703710.0,1703710.0,1708345.0,4862882.5,4870532.5,6074032.5,11456622.5
int_frag_mem_t,11165469000.0,15165469000.0,1915659500.0,1915659500.0,1668480500.0,1733893000.0,1481019000.0,1345364500.0,1627431500.0
avg_int_frag_mem_t,55827345.0,75827345.0,9578297.5,9578297.5,8342402.5,8669465.0,7405095.0,6726822.5,8137157.5
mem_t_utilization,0.12769773437499998,0.09729351190476188,0.4200872155967753,0.4200872155967753,0.44847031173240015,0.3765332438915867,0.39967439808208827,0.3896655829186436,0.29433576906794123
total_disk_t,12800000000.0,12801000000.0,1414000000.0,1414000000.0,1112000000.0,1626000000.0,1330000000.0,1828000000.0,2918000000.0
avg_total_disk_t,64000000.0,64005000.0,7070000.0,7070000.0,5560000.0,8130000.0,6650000.0,9140000.0,14590000.0
wdisk_t,12400000000.0,12401000000.0,1014000000.0,1014000000.0,712000000.0,1226000000.0,930000000.0,1428000000.0,2518000000.0
avg_wdisk_t,62000000.0,62005000.0,5070000.0,5070000.0,3560000.0,6130000.0,4650000.0,7140000.0,12590000.0
wfail_alloc_disk_t,0,0,208000000.0,208000000.0,216000000.0,420000000.0,434000000.0,622000000.0,1154000000.0
avg_wfail_alloc_disk_t,0,0,1040000.0,1040000.0,1080000.0,2100000.0,2170000.0,3110000.0,5770000.0
int_frag_disk_t,12400000000.0,12401000000.0,806000000.0,806000000.0,496000000.0,806000000.0,496000000.0,806000000.0,1364000000.0
avg_int_frag_disk_t,62000000.0,62005000.0,4030000.0,4030000.0,2480000.0,4030000.0,2480000.0,4030000.0,6820000.0
disk_t_utilization,0.03125,0.031247558784469942,0.2828854314002829,0.2828854314002829,0.3597122302158273,0.24600246002460024,0.3007518796992481,0.21881838074398252,0.13708019191226872
num_retries,0,200,107,107,111,213,220,314,579
num_retries_bucket,0,0,104,104,108,210,217,311,577
num_retries_machine,0,0,3,3,3,3,3,3,2
total_run_time,100000.0,100000.0,153500.0,153500.0,155500.0,206500.0,210000.0,257000.0,389500.0
avg_run_time,500.0,500.0,767.5,767.5,777.5,1032.5,1050.0,1285.0,1947.5
