,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,cold_bucketing,cold_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,2,2,2,2,2,2,3,3,4,7
# cold starts,x,x,x,x,x,10,10,10,10,5,5,10,5,10,20
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,0,1,1,1,1,1,1
num_tasks,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
total_cores_t,1600000.0,708000.0,508000.0,508000.0,2000000.0,672000.0,672000.0,624000.0,624000.0,608000.0,656000.0,866000.0,858000.0,1040000.0,1622000.0
avg_total_cores_t,8000.0,3540.0,2540.0,2540.0,10000.0,3360.0,3360.0,3120.0,3120.0,3040.0,3280.0,4330.0,4290.0,5200.0,8110.0
wcores_t,1200000.0,308000.0,108000.0,108000.0,1600000.0,272000.0,272000.0,224000.0,224000.0,208000.0,256000.0,466000.0,458000.0,640000.0,1222000.0
avg_wcores_t,6000.0,1540.0,540.0,540.0,8000.0,1360.0,1360.0,1120.0,1120.0,1040.0,1280.0,2330.0,2290.0,3200.0,6110.0
wfail_alloc_core_t,0,254000.0,54000.0,54000.0,0,194000.0,194000.0,146000.0,146000.0,154000.0,202000.0,388000.0,404000.0,562000.0,1084000.0
avg_wfail_alloc_core_t,0,1270.0,270.0,270.0,0,970.0,970.0,730.0,730.0,770.0,1010.0,1940.0,2020.0,2810.0,5420.0
int_frag_core_t,1200000.0,54000.0,54000.0,54000.0,1600000.0,78000.0,78000.0,78000.0,78000.0,54000.0,54000.0,78000.0,54000.0,78000.0,138000.0
avg_int_frag_core_t,6000.0,270.0,270.0,270.0,8000.0,390.0,390.0,390.0,390.0,270.0,270.0,390.0,270.0,390.0,690.0
cores_t_utilization,0.25,0.5649717514124294,0.7874015748031495,0.7874015748031495,0.19999999999999996,0.5952380952380952,0.5952380952380952,0.641025641025641,0.641025641025641,0.6578947368421053,0.6097560975609756,0.4618937644341802,0.4662004662004662,0.3846153846153846,0.24660912453760786
total_mem_t,12800000000.0,5664000000.0,4064000000.0,4064000000.0,16800000000.0,4343324500.0,4343324500.0,4308517000.0,4308517000.0,4137892000.0,4163115500.0,4882096500.0,4730150500.0,5335960000.0,7723177000.0
avg_total_mem_t,64000000.0,28320000.0,20320000.0,20320000.0,84000000.0,21716622.5,21716622.5,21542585.0,21542585.0,20689460.0,20815577.5,24410482.5,23650752.5,26679800.0,38615885.0
wmem_t,10833870000.0,3697870000.0,2097870000.0,2097870000.0,14833870000.0,2377194500.0,2377194500.0,2342387000.0,2342387000.0,2171762000.0,2196985500.0,2915966500.0,2764020500.0,3369830000.0,5757047000.0
avg_wmem_t,54169350.0,18489350.0,10489350.0,10489350.0,74169350.0,11885972.5,11885972.5,11711935.0,11711935.0,10858810.0,10984927.5,14579832.5,13820102.5,16849150.0,28785235.0
wfail_alloc_mem_t,0,2032000000.0,432000000.0,432000000.0,0,821978000.0,821978000.0,793028500.0,793028500.0,830944000.0,855101500.0,1602752000.0,1661959000.0,2252559000.0,4267614000.0
avg_wfail_alloc_mem_t,0,10160000.0,2160000.0,2160000.0,0,4109890.0,4109890.0,3965142.5,3965142.5,4154720.0,4275507.5,8013760.0,8309795.0,11262795.0,21338070.0
int_frag_mem_t,10833870000.0,1665870000.0,1665870000.0,1665870000.0,14833870000.0,1555216500.0,1555216500.0,1549358500.0,1549358500.0,1340818000.0,1341884000.0,1313214500.0,1102061500.0,1117271000.0,1489433000.0
avg_int_frag_mem_t,54169350.0,8329350.0,8329350.0,8329350.0,74169350.0,7776082.5,7776082.5,7746792.5,7746792.5,6704090.0,6709420.0,6566072.5,5510307.5,5586355.0,7447165.0
mem_t_utilization,0.15360390624999998,0.34712747175141245,0.4837918307086614,0.4837918307086614,0.11703154761904766,0.452678587565815,0.452678587565815,0.4563356718796746,0.4563356718796746,0.47515256560586894,0.472273709437079,0.40272247793545257,0.41565907892359877,0.3684679045570056,0.2545752868282055
total_disk_t,12800000000.0,5664000000.0,4064000000.0,4064000000.0,12801000000.0,1400000000.0,1400000000.0,1352000000.0,1352000000.0,1112000000.0,1160000000.0,1594000000.0,1362000000.0,1768000000.0,2910000000.0
avg_total_disk_t,64000000.0,28320000.0,20320000.0,20320000.0,64005000.0,7000000.0,7000000.0,6760000.0,6760000.0,5560000.0,5800000.0,7970000.0,6810000.0,8840000.0,14550000.0
wdisk_t,12400000000.0,5264000000.0,3664000000.0,3664000000.0,12401000000.0,1000000000.0,1000000000.0,952000000.0,952000000.0,712000000.0,760000000.0,1194000000.0,962000000.0,1368000000.0,2510000000.0
avg_wdisk_t,62000000.0,26320000.0,18320000.0,18320000.0,62005000.0,5000000.0,5000000.0,4760000.0,4760000.0,3560000.0,3800000.0,5970000.0,4810000.0,6840000.0,12550000.0
wfail_alloc_disk_t,0,2032000000.0,432000000.0,432000000.0,0,194000000.0,194000000.0,146000000.0,146000000.0,154000000.0,202000000.0,388000000.0,404000000.0,562000000.0,1084000000.0
avg_wfail_alloc_disk_t,0,10160000.0,2160000.0,2160000.0,0,970000.0,970000.0,730000.0,730000.0,770000.0,1010000.0,1940000.0,2020000.0,2810000.0,5420000.0
int_frag_disk_t,12400000000.0,3232000000.0,3232000000.0,3232000000.0,12401000000.0,806000000.0,806000000.0,806000000.0,806000000.0,558000000.0,558000000.0,806000000.0,558000000.0,806000000.0,1426000000.0
